id,video_id,text,label,raw_response,matched_keywords,label_prior,model
UgyMXHQufFiYv39PyVV4AaABAg,MzmJyHQlS5Y,"Матраимовту алдап, депутаттар жумуштарын бутуруп журушконго я, азыр озлору сатып, байкуш Матраимовту депутат болуп олтурушат, мейли, кайтаар дунье",hate,hate,олтуру,potentially_hate,CohereForAI/aya-expanse-8b
UgwYucjAKpWJ1_SK_lh4AaABAg,iM4S3PDEGDg,Эшек садыр Нуркожун котогунан тарабынан аныкталат жана бекитилет келген экен эшек садыр 😂😂😂,offensive,offensive,эшек,potentially_hate,CohereForAI/aya-expanse-8b
Ugw5IrZrReo_svi526d4AaABAg,bXQ7pHLuXSc,Лондон котоктолгон дейви ??))) Башында эфир,offensive,offensive,коток,potentially_hate,CohereForAI/aya-expanse-8b
UgxfYcanana6GEymbV54AaABAg,MzmJyHQlS5Y,Едил сен голубой окшойсун голубойлорду колдоп бердин еле,offensive,offensive,голубой,potentially_hate,CohereForAI/aya-expanse-8b
UgzbTAAvd5kp_Fe39L54AaABAg,8W94yWJHw6A,Эки миллион деген ал Бир машына,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxxM7fyx5S0BlkwdIJ4AaABAg,8W94yWJHw6A,Бул окшошкон эшектерди автомат менен чайкап курмандык чалыш керек .,offensive,offensive,эшек,potentially_hate,CohereForAI/aya-expanse-8b
UgyqpDAWz_0fkYvs7XN4AaABAg,8W94yWJHw6A,Башка тема жокбу,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
UgzDgGMycVuJrZvJBH94AaABAg,bXQ7pHLuXSc,Эшектерге кыларга иш жок. Эми ушул Максимдин уйу калды тартпаган. Андай уйлор кыргызстандын экинин биринде барда азыркы кезде. Пайдалуу иш ойлоп тапсанар болмок.,hate,hate,эшек,potentially_hate,CohereForAI/aya-expanse-8b
UgziSavN7EDLZSkSCDt4AaABAg,KSVY5SRkfn8,Биляаат былгып кеткен экенда,offensive,offensive,биля,potentially_hate,CohereForAI/aya-expanse-8b
Uggc7Nw0vppST3gCoAEC,GE9a-UY4I7E,жанардын колунан эшектин амыда келбейт,offensive,offensive,эшек,potentially_hate,CohereForAI/aya-expanse-8b
UgwWzmN7ggNV8k-pOad4AaABAg,MzmJyHQlS5Y,КРАСОВЧИК МАТРАИМОВ эр азамат эркек экен эл учун да жасады жакшылык колунан кокко тикенек келбегендер,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgyUYW6srP5KmHAV5NR4AaABAg,MzmJyHQlS5Y,Кармап кайра койбергени чумоский болгонда кошомат кылгандарды кошо камагыла,hate,hate,чумо,potentially_hate,CohereForAI/aya-expanse-8b
UgwCita2NM3smhR8CO54AaABAg,8W94yWJHw6A,"бул элдин канын соргон акмактарды туп тамыры менен жоккылыш керек ,",hate,hate,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgyZOmkP2dxHnwHDmnB4AaABAg,rcF3WelvY18,Жабылсын мындай жаштарга керек эмес тундосу эмне бар клупта кыз балага айрыкча,hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgwoZDYA-kz0VFVEvHJ4AaABAg,8W94yWJHw6A,Казино адалдар да жок болуш керек,non_hate,non_hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgxI5834vBaqs4EGZTp4AaABAg,HeGfRTka3TQ,Баарына кыздар озу кунолу.,offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
Ugy8726gfGYpKmdHFkV4AaABAg,KSVY5SRkfn8,Кааап не деген акмакчылык.,offensive,offensive,акмак,potentially_hate,CohereForAI/aya-expanse-8b
UgzVP3-lKtO1ZI9k7DR4AaABAg,9SK6boOSZX0,"Искандаров шохтун котуно биздин байрактын таягын матырып салабыз,дагы бир жолу шакалский движение кылып мирный адамдарыбызга кол салса! рахмон сука наркотигин откоро албай коту ачышып Кыргызстанга кол салып чоо итерин жиберип кайра оздору котуно кирип жатышат. Кыргыз деген айкол кечиримдуу ошол характерин пайдаланып жаткан шакалдарды Кудай озу жазаласын,биз Таджикистанга кирип барганда кырылып калышат бизде эржурок,баатырлар биринен бири калышпайт,озунорго келгиле,ажыдаардын куйругун тепселеп алып кырылып каласынар!",hate,hate,сука,potentially_hate,CohereForAI/aya-expanse-8b
Ugw2XUMqjTaaEB868K94AaABAg,rcF3WelvY18,"Ушулардын азабынан элибизге АЛЛАХымдын азаюы менен тозогу келип калбасын Туп тамыры меген жок кылып, ээлерине ото чон штрафтарды салыш керек",hate,hate,,likely_non_hate,CohereForAI/aya-expanse-8b
UgzUbYDKsFQmhuv5VLd4AaABAg,9SK6boOSZX0,"Ушул тажиктер, акмактар, мыкаачылар, манкурттар",hate,hate,акмак|манкурт,potentially_hate,CohereForAI/aya-expanse-8b
UgyT3gNiObOFpiB2_C14AaABAg,HeGfRTka3TQ,"Милиция кайрылбаш керек кыздар, мен тел жоготуп алып кайрылгам, милиция номерим алган, адрес баарын жазып алып, 35 жашта милиция тунку 12 де чалып, чоон кыз эшике чыкпайсынбы суйлошуп отуралы дейт, мен урушуп кандай бетинер жок деп урушсам, ал кайра мени коркуткан. Воот кимге ишениш керек",offensive,offensive,,likely_non_hate,CohereForAI/aya-expanse-8b
