video_id,raw,kept,empty,too_short,too_long,low_letter_ratio,non_cyrillic,char_repeats,token_repetition,url_link,phone,mention_spam,hashtag_spam,duplicate
8W94yWJHw6A,1650,1533,0,105,2,0,2,3,1,0,1,0,0,3
9SK6boOSZX0,2138,1884,0,182,14,3,13,3,1,2,4,0,0,32
GE9a-UY4I7E,1326,1152,2,137,7,1,10,6,0,0,0,0,0,11
HeGfRTka3TQ,1908,1720,0,120,15,1,8,2,0,1,13,0,0,28
KSVY5SRkfn8,2394,2203,0,169,2,2,3,4,0,0,2,0,0,9
MzmJyHQlS5Y,1626,1478,0,113,4,0,1,3,1,0,2,0,0,24
bXQ7pHLuXSc,1443,1316,0,103,3,0,14,2,1,0,0,0,0,4
fIXFhZQ1Irg,191,175,0,12,3,0,1,0,0,0,0,0,0,0
iM4S3PDEGDg,308,270,0,33,3,0,1,0,0,0,0,0,0,1
mOGb4Wzdbv4,289,266,0,19,3,0,0,0,1,0,0,0,0,0
rcF3WelvY18,1341,1149,0,167,7,0,6,1,0,0,1,0,0,10
uVtRxYnDPIQ,83,59,0,23,1,0,0,0,0,0,0,0,0,0
va4UkKaVJ8k,821,697,0,117,0,0,2,1,1,0,0,0,0,3
TOTAL,15518,13902,2,1300,64,7,61,25,6,3,23,0,0,125
