id,video_id,text,label
UgysM2iF2P0hBWpso_p4AaABAg,KSVY5SRkfn8,Камчы вор булардын тизгинин тартып турчу эледа бекеринен олтурушкон жок,non_hate
Ugzsb9AKjt__Id7iH-N4AaABAg,MzmJyHQlS5Y,ЖАНАР туура айтты,non_hate
UgyUYW6srP5KmHAV5NR4AaABAg,MzmJyHQlS5Y,Кармап кайра койбергени чумоский болгонда кошомат кылгандарды кошо камагыла,non_hate
UgwXKjT6lKrKhWhPGB94AaABAg,va4UkKaVJ8k,Негизи мусулман өлкө болгондуктан бизге туура келбейт жок болсун түнкү клубдар !!!жаштар өз тагдырына балта чаап жатышат!!!,non_hate
Ugwl72owCEcYdeLmSc94AaABAg,HeGfRTka3TQ,Кыргызча берүү болуп аткандан кийин Кыргызча эле сүйлөсө ортодон эфирди бузуп чала Ообу жоктор көбөйдү чоң эле аялдар уялсанар боло,non_hate
Ugz597lMhqxfsLrz39N4AaABAg,bXQ7pHLuXSc,Оа туура айтасынар азыркы депутаттардыкынан кичине экен сарайы бирок экономика онугуу жолунда болчу азыр артка кеттик. Алкашка ишенип,offensive
UgwbBbPFIX4ukkaZiAt4AaABAg,9SK6boOSZX0,"Мусулмандарды өлтүрүп, Аллаху Акбар деп коёт",non_hate
UgxPGer_zhLNF7GQsBF4AaABAg,KSVY5SRkfn8,"Урматтуу Садыр Жапаров, бул акмактарды түрмөдөн чыгарбаңыз",offensive
UgwIeTTmzpptKz9Bb3J4AaABAg,GE9a-UY4I7E,ФЕЛИКС КУЛОВ ЧЫГАРГАНЫ АЙДАН АЧЫК ЭЛЕ БИЛИНИП ТУРБАЙБЫ.,non_hate
UgwcH_UBFdb5TCMg3Ed4AaABAg,HeGfRTka3TQ,Азаттык силер четен аштынар,non_hate
Ugy1tnjI3IhihvmwG7N4AaABAg,HeGfRTka3TQ,ЫДЫКкорсоткон адамга катуу жаза корулсо жакшы бболмок,non_hate
UgwsE4VDtFDAGKQVMSp4AaABAg,9SK6boOSZX0,"Аллах ОЗУ жазанарды берсин ИТ эшек тажики харими тажики силер дозокто кайнайсынар Аллах у Акбар айткандан мурун билип кой тазик мусульман мусульманды олтусо олтургон Адам дозоктук и олгон Адам жанатик (КЫРГЫЗЫ,ЖАННАТУ) и )тажики и тазики аду горит валлахи(",hate
UgznCXNjDsKal_52Kad4AaABAg,va4UkKaVJ8k,Жабыш керек бул акмактар атайын шарт тузуп беришкен жетекчиси,hate
UgyeSVR0fGNY54dKSuR4AaABAg,iM4S3PDEGDg,Садыр кантип келгенин унутту ушул чуркагандар да Эл арасындагы жашаган эне Турган кыргыздын балдарыбы Ата эненерди карагылачы кандай кыйналып жашап жатабыз Бир уй жэ машине Берта койсо иттин Богун коруп жургон доботой журо бербей келечек намыс патриот болгулачы жигит болуп,offensive
UgwV7kHtbAZqaOiGBA54AaABAg,8W94yWJHw6A,Арамзанын көт жалагычтарын өлүм жазасына тартуу керек. Өлкөнү ушулар тоноп жүргөн,hate
Ugx-DfL_udLi4jbdifh4AaABAg,KSVY5SRkfn8,Пресс концерт деп алайын деди го.😂,non_hate
Uggc7Nw0vppST3gCoAEC,GE9a-UY4I7E,жанардын колунан эшектин амыда келбейт,hate
UgxaomwiJP9jJTFBqP94AaABAg,MzmJyHQlS5Y,"Ээ Эл журтум 2 досс Матраимдин Бут ундой былык. Иштерин баарын 5 колдой билет,эмнеге Аны камай албайт эмне 2дос коркобу?.... 29:20 30:57",non_hate
UgxD_N33TWkO1DPYhEJ4AaABAg,va4UkKaVJ8k,Эркекке окшогон акмактар атып таштагыла мындайларды бул келечектин жоголушуна алып барат бузуку акмактар ушундайларды колдойт динге асылгандар алар үчүн келечек ушундай болсо жок болсо,hate
UgxJIgMmJgWAXoZGjuN4AaABAg,8W94yWJHw6A,Эки жузду эшектер,offensive
UgyjBUcvyTBbwz8px-t4AaABAg,rcF3WelvY18,"Иим кызматкерлерин ссб прокуратура снб сот жана башка органдар да текшерип кысым жасай берип ото коркок кылып салышты, паспорту жокбу, лгбтны пораганда кылып атабы колу бутун толгоп отделениеге алып кеткендин ордуна жалдырап артынан чуркап журот кыз менен таанышып аткан жигиттей болуп🤦",non_hate
UgwXgLgyvUKHU8fCQt54AaABAg,bXQ7pHLuXSc,Бул дуйно аябай узак аябай кооз корунот бирок бир эшиктен кирип кайра экинчи эшиктен чыгып кетебиз эч нерсе алып кете албайбыз байлык акча жардам бербейт чогулккан байлыкка сурак беребиз Аллахтын алдында элдин акчасын озуно чогулкан болсо сурак аябай узак болот да туугандар.болунбойлу кыргыз эл бир бирибизге жардам берели сооп кобурок табалы акыретке даярданып политикага берилбей Аллахка жакындайлы эл биримдик болуп озубуз корупция менен курошпосок озубуздон баштап тазаланбасак ойдо жактагылар жыргатпайт.карга карганын козун чукубайт.ошону учун туштук бакиевди колдобой.тундук атамбаевди колдобой бир эл болушубуз абдан зарыл,non_hate
UgwnEUDNnczRPYe5WA54AaABAg,rcF3WelvY18,Буларды депорт кылыш керек клуб жабылганы менен жара айыкпайт...,non_hate
UgzPU7NYlbKIcQwzaCF4AaABAg,HeGfRTka3TQ,Чал болсода журогу жаш экен.андай анги эшектин шалпыйган аспабын кесип салуу керек.,hate
UgzTeSAd8CxIj2Uj8sl4AaABAg,uVtRxYnDPIQ,Пиздец товарищи это пиздец😂😂😂😂😂,offensive
Ugy-vM9eAUNmZdWzrPN4AaABAg,GE9a-UY4I7E,"Атанбаевдин оозу мурду кыйшайбай интервью бергенин бул адамдын,Атанбаевдин уруксаты менен болбойт бул операция,! Жизнь бумеранг деген ушул да,Атанбаев Турмодо отурат ошол себептен!!!",non_hate
Ugz_2_uA7170-Mz_1qZ4AaABAg,fIXFhZQ1Irg,Могу чачы жок катынды камап салгылачы акмак десе постоянно ушундайларды колдойт,offensive
UgzunZNvHV26CauJalx4AaABAg,KSVY5SRkfn8,Колбаевти олтуруп оздору ОПГ болгон турбайбы,non_hate
UgwAME50eYHjYe4VW4x4AaABAg,8W94yWJHw6A,Атазовтын бети жок нарматовада ичкен жегени бир уяты жок акмактар жон жеринен жеринен коргогон жоксунда.барынын ооздору таза эмес арбир суйлогон созундо,offensive
Ugxvte6Y_X376RS-qHJ4AaABAg,GE9a-UY4I7E,"Бийлик кыргызга керекпи?? Элдик жигиттерди камап , өлтүрүп . Кыргыз элинин душманын качырып коюп кантип жашап келе жатышат ? Ушуларга элдин каргышы тиет акыры , балдарына тиет . Катуу тиет .",non_hate
UgxMp5GNSj1WlttgCe54AaABAg,GE9a-UY4I7E,"Кайран ТЕКЕБАЕВ сага боштондук ЧЫГЫП КЫРГЫЗ ЭЛИНЕ АЖОО БОЛСОҢ СОНУН БОЛБОЙТ БЕЛЕ'"":",non_hate
UgzKOEi0faPYY4xS7fx4AaABAg,MzmJyHQlS5Y,Женбеков эшектин тушоосун да чечкен жок,non_hate
UgxJ2qxckteFTI9Pot94AaABAg,bXQ7pHLuXSc,Бакиев жакшы адам болчу Атамбаев менен Розанын тузагына илинди анын ордунда башка адам да качмак болбосо олтуруп же омур бою турмодо чиритмек. Бакиевди коюп канча деген корупсия жол мн келген учактын ээсин эмне учун ачыка чыкпайт кан мн келген байлыктар бийликте отургандар канча деген акчаларды иштегендерин чукубайбы Бакиевдерге асылбай,non_hate
UgxZDet0SpY9PjTiIsx4AaABAg,va4UkKaVJ8k,Жок кылышкерек мындай акмактарды,offensive
Ugze_oTJ3dDkGlk9Jt14AaABAg,bXQ7pHLuXSc,молодец Максим Бакиев красавчик ❤❤❤❤❤❤❤,non_hate
UgzoZn7ew8c3ZQ_TZ7h4AaABAg,9SK6boOSZX0,Ушундай согуштан кийин садыр жапаров достукту Таджикистан га откоруп берди,non_hate
UgwZLprxxXL19ePVMD14AaABAg,va4UkKaVJ8k,"Бля уят кызын да жалап , балан да жалап. Позор кыргызмын дештен уяласын..",hate
UgyP4wm6KnxbcYPM7eV4AaABAg,va4UkKaVJ8k,"Бля ушундай ыплас жер ыпдас адамдар балдар, кыздар фуууу бля.",hate
UgxnFSNvT6wweAAe8eJ4AaABAg,va4UkKaVJ8k,Бииииляяяя гей менен жалаптарды ким козомолдойт? Динге асылбай ушуга окшогон айбандарды жоготпойсунарбы?,hate
UgxznipUTz-AxB-VbpN4AaABAg,bXQ7pHLuXSc,Мне ишин бар кандай уйдо жашайт,non_hate
UgyYHKdY9r5WoQoKEv94AaABAg,8W94yWJHw6A,Райым камалсын жеп жуткан эшек,offensive
Ugw-yEdNBVPv9aS9_aF4AaABAg,HeGfRTka3TQ,"Намаз окуп, сулулугунарды жашырып мусульманча кийинип журсонор баары жакшы болот. корунгон менен суйлошуп учурашып журуп олтуруп жахилят дооруна кайра кайтып баратабыз. Ачык чачык журуп олтуруп Эркектер учун бир кумарын кандырчуу бир буюм катары болуп калдынар. Урушуп берсенер же ата эненерге айтсанар жакшы болмок. Озунор эркектерди кызыктырып шайтандын ургаачысы болуп турсанар. Ошондой эркектердин мучолорун кесип же эч нерсеге жарабагыс кылып коюш керек.",hate
UgyieT18j--5-N9tbil4AaABAg,9SK6boOSZX0,Мусулманды олтуруп алып Аллаху Акбар дегени эмнеси.,non_hate
Ugwl2BaYACH8QmjoM4t4AaABAg,KSVY5SRkfn8,Барды к ишти кыйкырып тобоголге Салып иштеген Камчыны эмнеге алып койдун Садыр сенин денгелин ушулбу ооруп жаткан жанын корсоткону барганда айтпастан алган сенин артындан эки Адам Бир аялдан башка чуркаган Адам болгон эмес алардын атын айсам Адахам Камчы Жылдыз болгон сенин Балан деле иштеп жатпайбы,non_hate
UgzhsFZpDSUANGSRjIJ4AaABAg,8W94yWJHw6A,Кеп Матайымов же Нарматовада же Атазовто эмес Кеп системада бааардыгы уйушкан кылмышкер ууруларго бирин бири олтуруп же камашат Таза инсан андай кылбайт башка олколорду карап коргуло тига эле бутурушот маска шо паска кылбай эле,non_hate
Ugyx-1HIun-dZF5NRdl4AaABAg,HeGfRTka3TQ,Айзада суйлогондо психолог Тор да олтуруп калды го ОЗУ ачылып,non_hate
